Month Key,Month-Year,Count - Respondents,Count – Satisfied or Very Satisfied Responses,Percent – Satisfied or Very Satisfied Responses,Target – Percent Satisfied or Very Satisfied Responses
201310,10/01/2013 12:00:00 AM,119,115,96.63,95
201311,11/01/2013 12:00:00 AM,99,91,91.91,95
201312,12/01/2013 12:00:00 AM,54,53,98.14,95
201401,01/01/2014 12:00:00 AM,133,132,99.24,95
201402,02/01/2014 12:00:00 AM,133,125,93.98,95
201403,03/01/2014 12:00:00 AM,143,140,97.90,95
201404,04/01/2014 12:00:00 AM,140,139,99.28,95
201405,05/01/2014 12:00:00 AM,186,183,98.38,95
201406,06/01/2014 12:00:00 AM,115,113,98.26,95
201407,07/01/2014 12:00:00 AM,183,178,97.26,95
201408,08/01/2014 12:00:00 AM,142,134,94.36,95
201409,09/01/2014 12:00:00 AM,146,138,94.52,95
201410,10/01/2014 12:00:00 AM,204,200,98.03,95
201411,11/01/2014 12:00:00 AM,146,142,97.26,95
201412,12/01/2014 12:00:00 AM,113,111,98.23,95
201501,01/01/2015 12:00:00 AM,141,137,97.16,95
201502,02/01/2015 12:00:00 AM,115,114,99.13,95
201503,03/01/2015 12:00:00 AM,175,172,98.28,95
201504,04/01/2015 12:00:00 AM,165,159,96.36,95
201505,05/01/2015 12:00:00 AM,128,124,96.87,95
201506,06/01/2015 12:00:00 AM,67,64,95.52,95
201507,07/01/2015 12:00:00 AM,132,130,98.48,95
201508,08/01/2015 12:00:00 AM,95,94,98.94,95
201509,09/01/2015 12:00:00 AM,32,32,100.00,95
201510,10/01/2015 12:00:00 AM,121,117,96.69,95
201511,11/01/2015 12:00:00 AM,92,90,97.82,95
201512,12/01/2015 12:00:00 AM,90,86,95.55,95
201601,01/01/2016 12:00:00 AM,93,90,96.77,95
201602,02/01/2016 12:00:00 AM,111,105,94.59,95
201603,03/01/2016 12:00:00 AM,80,77,96.25,95
201604,04/01/2016 12:00:00 AM,99,94,94.94,95
201605,05/01/2016 12:00:00 AM,96,96,100.00,95
201606,06/01/2016 12:00:00 AM,74,72,97.29,95
201607,07/01/2016 12:00:00 AM,76,75,98.68,95
201608,08/01/2016 12:00:00 AM,90,88,97.77,95
201609,09/01/2016 12:00:00 AM,66,62,93.93,95
201610,10/01/2016 12:00:00 AM,87,83,95.40,95
201611,11/01/2016 12:00:00 AM,50,50,100.00,95
201612,12/01/2016 12:00:00 AM,42,42,100.00,95
201701,01/01/2017 12:00:00 AM,75,73,97.33,95
201702,02/01/2017 12:00:00 AM,89,88,98.87,95
201703,03/01/2017 12:00:00 AM,74,72,97.29,95
201704,04/01/2017 12:00:00 AM,157,150,95.54,95
201705,05/01/2017 12:00:00 AM,80,78,97.50,95
201706,06/01/2017 12:00:00 AM,78,77,98.71,95
201707,07/01/2017 12:00:00 AM,72,71,98.61,95
201708,08/01/2017 12:00:00 AM,87,86,98.85,95
201709,09/01/2017 12:00:00 AM,57,55,96.49,95
201710,10/01/2017 12:00:00 AM,59,59,100.00,95
201711,11/01/2017 12:00:00 AM,43,42,97.67,95
201712,12/01/2017 12:00:00 AM,24,22,91.66,95
201801,01/01/2018 12:00:00 AM,50,49,98.00,95
201802,02/01/2018 12:00:00 AM,48,47,97.91,95
201803,03/01/2018 12:00:00 AM,74,71,95.94,95
201804,04/01/2018 12:00:00 AM,88,87,98.86,95
201805,05/01/2018 12:00:00 AM,60,60,100.00,95
201806,06/01/2018 12:00:00 AM,72,70,97.22,95
201807,07/01/2018 12:00:00 AM,69,69,100.00,95
201808,08/01/2018 12:00:00 AM,60,54,90.00,95
201809,09/01/2018 12:00:00 AM,48,47,97.91,95
201810,10/01/2018 12:00:00 AM,81,79,97.53,95
201811,11/01/2018 12:00:00 AM,48,43,89.58,95
201812,12/01/2018 12:00:00 AM,58,58,100.00,95
201901,01/01/2019 12:00:00 AM,70,63,90.00,95
201902,02/01/2019 12:00:00 AM,55,51,92.72,95
201903,03/01/2019 12:00:00 AM,94,94,100.00,95
201904,04/01/2019 12:00:00 AM,221,212,95.92,95
201905,05/01/2019 12:00:00 AM,65,63,96.92,95
201906,06/01/2019 12:00:00 AM,178,176,98.87,95
201907,07/01/2019 12:00:00 AM,140,132,94.28,95
201908,08/01/2019 12:00:00 AM,139,134,96.40,95
201909,09/01/2019 12:00:00 AM,155,151,97.41,95
201910,10/01/2019 12:00:00 AM,126,118,93.65,95
201911,11/01/2019 12:00:00 AM,131,129,98.47,95
201912,12/01/2019 12:00:00 AM,94,93,98.93,95
202001,01/01/2020 12:00:00 AM,84,83,98.80,95
202002,02/01/2020 12:00:00 AM,93,86,92.47,95
202003,03/01/2020 12:00:00 AM,80,75,93.75,95
202004,04/01/2020 12:00:00 AM,70,68,97.14,95
202005,05/01/2020 12:00:00 AM,75,71,94.66,95
202007,07/01/2020 12:00:00 AM,70,66,94.28,95
202008,08/01/2020 12:00:00 AM,77,75,97.40,95
202009,09/01/2020 12:00:00 AM,71,70,98.59,95
202010,10/01/2020 12:00:00 AM,57,55,96.49,95
